alt,caption,shortCode,timestamp,type,url,videoDuration,videoUrl
,My first ever Best of #hongkong with @fedtan !!! #cityguide,C87U_f2OO_W,2024-07-02T16:33:03.000Z,Video,https://www.instagram.com/p/C87U_f2OO_W/,58.033,https://scontent.cdninstagram.com/o1/v/t16/f2/m69/An98ZS-jU_MTzmwYpgTAaPBLNw8W8_E9m9QQtNnyZJ5Dz-PgVYaYiNiWUfVyqG_2pfJh8PqDCC4dTdjgKu8SHqdp.mp4?efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuMTA4MC5iYXNlbGluZSJ9&_nc_ht=scontent.cdninstagram.com&_nc_cat=107&vs=506363958392442_4087210798&_nc_vs=HBksFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HTnhNTFFmRmhmNHNheDRFQU5KeW9BcmE0a0pKYnBSMUFBQUYVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dEdEx6aHFLbm80cC1OSWNBRV9jZVMxOVJKTjlicV9FQUFBRhUCAsgBACgAGAAbABUAACaasL%2BQxbWBQBUCKAJDMywXQE0EOVgQYk4YFmRhc2hfYmFzZWxpbmVfMTA4MHBfdjERAHX%2BBwA%3D&_nc_rid=507c7e231c&ccb=9-4&oh=00_AYBPUhqs4ATV4b98BbUywWSBWlbc4figLgLdJwK-DWTwrA&oe=668C6A2E&_nc_sid=10d13b
,Best of #paris with @sarahandelman !!! #cityguide,C899T74OVlq,2024-07-03T17:07:33.000Z,Video,https://www.instagram.com/p/C899T74OVlq/,56.448,https://scontent.cdninstagram.com/o1/v/t16/f2/m69/An9V_LvvMa32wwEpTan47PRiZbsh8vlGNm8zV1j6_-8zsiq-YlayGUN_0k2OL5YAFY1UO022GbuceqdbGMaHbbkT.mp4?efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuZXhwZXJpbWVudGFsLjEwODAuYmFzZWxpbmUifQ&_nc_ht=scontent.cdninstagram.com&_nc_cat=103&vs=1818268138665076_714076099&_nc_vs=HBksFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HT0thTmhPVWRLMGJUOGNDQUw1Z0pqZTExU0J3YnBSMUFBQUYVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dFUUV1eHBvWUd5dE9qVUpBSEpVV01YdGZCMTlicV9FQUFBRhUCAsgBACgAGAAbABUAACbW9oL7quHCPxUCKAJDMywXQEw5WBBiTdMYFmRhc2hfYmFzZWxpbmVfMTA4MHBfdjERAHX%2BBwA%3D&_nc_rid=5ef01938ba&ccb=9-4&oh=00_AYCxdoQcP66CPtgr9NjzbBuxRUfa9qJf30D2xa2pDpeQeg&oe=668C7A38&_nc_sid=10d13b
,"Best of #losangeles with @omar.apollo plus concert ticket giveaway!!! The most liked comment on this video will receive 2 tickets to Omar’s Hollywood Bowl show on October 5, 2024. Travel not included!!! Make it funny!!! #cityguide",C84vRd0OLeG,2024-07-01T16:25:11.000Z,Video,https://www.instagram.com/p/C84vRd0OLeG/,57.633,https://scontent.cdninstagram.com/o1/v/t16/f2/m69/An8vLTMHtwVFp7fws4loIA3PPrtLWPM-ZUcnqUzd9sRGIok6qCeUvJ-4qo9v5CILSPfllsMojkAJkTOCtlcC_g4p.mp4?efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuMTA4MC5iYXNlbGluZSJ9&_nc_ht=scontent.cdninstagram.com&_nc_cat=103&vs=1230079734659768_1100163998&_nc_vs=HBksFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HSnV0aFFKSHNnMDdwMklEQUFueG1iRlNwQnMtYnBSMUFBQUYVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dEVGF6UnB2T0duNVpiRU5BQVY0dEQzY1N3WmlicV9FQUFBRhUCAsgBACgAGAAbABUAACa%2BsLTg5oWLQBUCKAJDMywXQEzRBiTdLxsYFmRhc2hfYmFzZWxpbmVfMTA4MHBfdjERAHX%2BBwA%3D&_nc_rid=e319d7f796&ccb=9-4&oh=00_AYAZLTETEuImyS1JhXf8wfrcfbN9js-i09Dctx9NISaAmA&oe=668C6414&_nc_sid=10d13b
,Best of #paris with @cgaimari !!! #cityguide,C8uqGBwP856,2024-06-27T18:24:08.000Z,Video,https://www.instagram.com/p/C8uqGBwP856/,83.448,https://scontent.cdninstagram.com/o1/v/t16/f2/m69/An_D5W4ejONkenoboX48gHRil1iLTcpxjegvuGIj4p_DWRbH-z3lHRjvcEBpqQ9reLIklJNvUvT6b5Z5vfuxAPwb.mp4?efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuMTA4MC5iYXNlbGluZSJ9&_nc_ht=scontent.cdninstagram.com&_nc_cat=102&vs=833551148657184_2490329113&_nc_vs=HBksFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HQmw3eEFJNEFjQzJxNGNEQUcxamR2dFVKSEVPYnBSMUFBQUYVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dKYlZ0eHBBV1BIRkx0QUJBUC1kcHhIaVJBY0dicV9FQUFBRhUCAsgBACgAGAAbABUAACb2jo7UpaeGQBUCKAJDMywXQFTcrAgxJukYFmRhc2hfYmFzZWxpbmVfMTA4MHBfdjERAHX%2BBwA%3D&_nc_rid=35b747eb14&ccb=9-4&oh=00_AYAEiaRhR40ibFPyqwB3q2d1A1OV4ckxD4-jG2fwd4hbyQ&oe=668C5BCA&_nc_sid=10d13b
,Best of #paris with @aymennebti !!! #cityguide,C8zt1a9tgn4,2024-06-29T17:36:06.000Z,Video,https://www.instagram.com/p/C8zt1a9tgn4/,48.266,https://scontent.cdninstagram.com/o1/v/t16/f2/m69/An9IKFqaVsza3963GVWM7ws0OG4DflG89kDGgbMhCgCil7C8Ctdox4LxCWnlHWy2bnqiKt_81vuoixSNMMWRKQ7F.mp4?efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuMTA4MC5iYXNlbGluZSJ9&_nc_ht=scontent.cdninstagram.com&_nc_cat=101&vs=437020689147573_2909473711&_nc_vs=HBksFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRWZHOXdsZ3Y5NFZINmNCQUU1SmZtakFadzU2YnBSMUFBQUYVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dIWXN2eG8xRXdXeFV2d0NBSHRmejNWYzlCMXpicV9FQUFBRhUCAsgBACgAGAAbABUAACbg5ODJnJWEQBUCKAJDMywXQEgiDEm6XjUYFmRhc2hfYmFzZWxpbmVfMTA4MHBfdjERAHX%2BBwA%3D&_nc_rid=5cd89e5da1&ccb=9-4&oh=00_AYDvBbeR87eERiN8K4EfJ2jTvOSV69qSFjO8ZZ8ise_0ow&oe=668C73A2&_nc_sid=10d13b
,Whaaaaaaaaaaat is happening at the #cfdaawards !!!,CzXJ23-PfUr,2023-11-07T22:40:35.000Z,Video,https://www.instagram.com/p/CzXJ23-PfUr/,42.0,https://scontent.cdninstagram.com/o1/v/t16/f1/m82/294EDB8C5D06FC1559EF914FCB0FFD8B_video_dashinit.mp4?efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_ht=scontent.cdninstagram.com&_nc_cat=101&vs=1002729417688094_3027376702&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC8yOTRFREI4QzVEMDZGQzE1NTlFRjkxNEZDQjBGRkQ4Ql92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dLeDZ1aGU3dGRKVGkyTUNBTEthVDVxbFE1VjNicV9FQUFBRhUCAsgBACgAGAAbABUAACa2tLj3%2FZfnPxUCKAJDMywXQEUAAAAAAAAYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HAA%3D%3D&_nc_rid=e0e859c922&ccb=9-4&oh=00_AYBtCLQ6Sh6uYz2PmMks1vWmCV0dNwRoQA0AFUdImkI8qA&oe=668C6412&_nc_sid=10d13b
,Best of #nyc with @caradelevingne !!! Thanks to @aerie for the alley oop !!! #cityguide,CwA0JIzAogd,2023-08-16T16:53:12.000Z,Video,https://www.instagram.com/p/CwA0JIzAogd/,42.0,https://scontent.cdninstagram.com/o1/v/t16/f1/m82/E14352AE0A1AFDAE97EB370E06A9D8A8_video_dashinit.mp4?efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_ht=scontent.cdninstagram.com&_nc_cat=103&vs=740347104521244_2620508121&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC9FMTQzNTJBRTBBMUFGREFFOTdFQjM3MEUwNkE5RDhBOF92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dHNjY4QlhEMnp5NFc1SURBS3lRUkxhaklyeGhicV9FQUFBRhUCAsgBACgAGAAbABUAACaYz%2Bybk4r6PxUCKAJDMywXQEUAAAAAAAAYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HAA%3D%3D&_nc_rid=12740983c9&ccb=9-4&oh=00_AYDkzb4wzCu5khtdd5GRkOEhHsM9Qugy_fhIoPwP-P0A3Q&oe=668C718C&_nc_sid=10d13b
,Best of #london with @icykof !!! #cityguide INNIT,C8sIsuzNEkv,2024-06-26T18:56:59.000Z,Video,https://www.instagram.com/p/C8sIsuzNEkv/,55.62,https://scontent.cdninstagram.com/o1/v/t16/f2/m69/An9mOKVTDdoH3kGJ_MrVnUWCp-7Udrws2MsN31weC6nAowqN1KNdBI1gawC1XhZhNH54K2hi-1EBbuvKBbTga6M.mp4?efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuMTA4MC5iYXNlbGluZSJ9&_nc_ht=scontent.cdninstagram.com&_nc_cat=108&vs=1021369376037121_4016936896&_nc_vs=HBksFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRGtJdndJcFc0MHlHSGdDQUtNTDJaTWVyQ284YnBSMUFBQUYVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dOYnJ3UnBWaXdNU3BLVURBRFFrTFNKTzRlZG9icV9FQUFBRhUCAsgBACgAGAAbABUAACammciQ%2BO70QBUCKAJDMywXQEvPXCj1wo8YFmRhc2hfYmFzZWxpbmVfMTA4MHBfdjERAHX%2BBwA%3D&_nc_rid=33121514b4&ccb=9-4&oh=00_AYDZxNc7CLeKAd_kEUnxCFpTiGcj-l-N1KWFlc7yVjRyqQ&oe=668C5A18&_nc_sid=10d13b
,Best of #stockholm with Swedish architect/designer extraordinaire @gustafwestman !!! #cityguide,C8msbEUNtRm,2024-06-24T16:14:56.000Z,Video,https://www.instagram.com/p/C8msbEUNtRm/,73.931,https://scontent.cdninstagram.com/o1/v/t16/f2/m69/An8euELOPUdHlC_ReJCv_in4KLbH9DBCW48W3qJmPjeNw6AsMNbFvN1pBSpczHwHYlERmjbip8udBlCIUa-OV2pY.mp4?efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuMTA4MC5iYXNlbGluZSJ9&_nc_ht=scontent.cdninstagram.com&_nc_cat=104&vs=1555423808651758_1639812886&_nc_vs=HBksFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HTE5pUHhQUlhSdENId0FGQUotR1ZmM0VqbDByYnBSMUFBQUYVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dBVXp3eHFWZ25OMU90c0NBTVV2LWpidW85QWZicV9FQUFBRhUCAsgBACgAGAAbABUAACa85KbJ5fazPxUCKAJDMywXQFJ7lYEGJN0YFmRhc2hfYmFzZWxpbmVfMTA4MHBfdjERAHX%2BBwA%3D&_nc_rid=840405eb1d&ccb=9-4&oh=00_AYBl9Iy8wX8H1ftSMset5Os46Uu_Uh8QSepItwZGtbMoAw&oe=668C45DA&_nc_sid=10d13b
,Best of #tokyo with Japanese fashion king @poggytheman !!! #cityguide,C45je6UPrkB,2024-03-24T14:00:52.000Z,Video,https://www.instagram.com/p/C45je6UPrkB/,59.851,https://scontent.cdninstagram.com/o1/v/t16/f1/m82/1741CBDF852C145E5B4512C2E2BE2E8A_video_dashinit.mp4?efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_ht=scontent.cdninstagram.com&_nc_cat=110&vs=3235940893204321_1690565128&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC8xNzQxQ0JERjg1MkMxNDVFNUI0NTEyQzJFMkJFMkU4QV92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dNU1A0eGtoMDFaRi1jTUNBTjZkaDhuUDQ3Tm1icV9FQUFBRhUCAsgBACgAGAAbABUAACbWhbK1oKHUPxUCKAJDMywXQE3s7ZFocrAYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HAA%3D%3D&_nc_rid=1207f19672&ccb=9-4&oh=00_AYB1yQwSOlG_l5-36JSuZQwTGJ3YpYDzS-YiBNJG1wRf4w&oe=668C6EBF&_nc_sid=10d13b
